root_role,root_cause,missing_rate,false_alarm_count,trial,observed_alarm_count,topology_rank,temporal_rank
core,core-02,0.2,0,16,6,1,1
core,core-02,0.2,0,17,7,1,1
core,core-02,0.2,0,18,8,1,1
core,core-02,0.2,0,19,7,1,1
core,core-02,0.2,2,0,8,1,1
core,core-02,0.2,2,1,10,1,1
core,core-02,0.2,2,2,11,1,1
core,core-02,0.2,2,3,11,1,1
core,core-02,0.2,2,4,9,1,1
core,core-02,0.2,2,5,10,1,1
core,core-02,0.2,2,6,10,1,1
core,core-02,0.2,2,7,10,1,1
core,core-02,0.2,2,8,10,1,1
core,core-02,0.2,2,9,9,1,1
core,core-02,0.2,2,10,9,1,1
core,core-02,0.2,2,11,10,1,1
core,core-02,0.2,2,12,8,1,1
core,core-02,0.2,2,13,9,1,1
core,core-02,0.2,2,14,10,1,1
core,core-02,0.2,2,15,8,1,1
core,core-02,0.2,2,16,11,1,1
core,core-02,0.2,2,17,8,1,1
core,core-02,0.2,2,18,7,1,1
core,core-02,0.2,2,19,8,1,1
core,core-02,0.2,4,0,8,2,2
core,core-02,0.2,4,1,11,1,1
core,core-02,0.2,4,2,10,1,1
core,core-02,0.2,4,3,10,1,1
core,core-02,0.2,4,4,12,1,1
core,core-02,0.2,4,5,11,1,1
core,core-02,0.2,4,6,12,1,1
core,core-02,0.2,4,7,12,1,1
core,core-02,0.2,4,8,10,1,1
core,core-02,0.2,4,9,10,1,1
core,core-02,0.2,4,10,10,1,1
core,core-02,0.2,4,11,11,1,1
core,core-02,0.2,4,12,9,1,1
core,core-02,0.2,4,13,11,1,1
core,core-02,0.2,4,14,12,1,1
core,core-02,0.2,4,15,11,1,1
core,core-02,0.2,4,16,12,1,1
core,core-02,0.2,4,17,11,1,1
core,core-02,0.2,4,18,12,1,1
core,core-02,0.2,4,19,11,1,1
core,core-02,0.4,0,0,4,1,1
core,core-02,0.4,0,1,7,1,1
core,core-02,0.4,0,2,6,1,1
core,core-02,0.4,0,3,5,2,2
core,core-02,0.4,0,4,5,1,1
core,core-02,0.4,0,5,3,1,1
core,core-02,0.4,0,6,6,1,1
core,core-02,0.4,0,7,7,1,1
core,core-02,0.4,0,8,5,1,1
core,core-02,0.4,0,9,3,1,1
core,core-02,0.4,0,10,8,1,1
core,core-02,0.4,0,11,7,1,1
core,core-02,0.4,0,12,7,1,1
core,core-02,0.4,0,13,7,1,1
core,core-02,0.4,0,14,4,1,1
core,core-02,0.4,0,15,6,1,1
core,core-02,0.4,0,16,7,1,1
core,core-02,0.4,0,17,4,1,1
core,core-02,0.4,0,18,6,1,1
core,core-02,0.4,0,19,7,1,1
core,core-02,0.4,2,0,6,2,2
core,core-02,0.4,2,1,5,1,1
core,core-02,0.4,2,2,9,1,1
core,core-02,0.4,2,3,7,1,1
core,core-02,0.4,2,4,9,1,1
core,core-02,0.4,2,5,11,1,1
core,core-02,0.4,2,6,6,2,2
core,core-02,0.4,2,7,8,1,1
